readers;writers;time (ms)
0;100;148
1;99;147
2;98;146
3;97;149
4;96;147
5;95;142
6;94;141
7;93;142
8;92;141
9;91;137
10;90;135
11;89;133
12;88;132
13;87;133
14;86;130
15;85;128
16;84;126
17;83;130
18;82;125
19;81;122
20;80;121
21;79;102
22;78;110
23;77;119
24;76;122
25;75;125
26;74;118
27;73;113
28;72;113
29;71;112
30;70;114
31;69;111
32;68;108
33;67;104
34;66;104
35;65;102
36;64;100
37;63;99
38;62;97
39;61;97
40;60;94
41;59;93
42;58;92
43;57;90
44;56;88
45;55;87
46;54;85
47;53;86
48;52;82
49;51;82
50;50;81
51;49;79
52;48;77
53;47;76
54;46;74
55;45;72
56;44;75
57;43;75
58;42;76
59;41;73
60;40;73
61;39;69
62;38;71
63;37;66
64;36;64
65;35;62
66;34;66
67;33;61
68;32;52
69;31;56
70;30;58
71;29;52
72;28;51
73;27;48
74;26;48
75;25;49
76;24;43
77;23;43
78;22;41
79;21;38
80;20;38
81;19;36
82;18;36
83;17;34
84;16;33
85;15;30
86;14;27
87;13;26
88;12;27
89;11;25
90;10;25
91;9;23
92;8;20
93;7;20
94;6;18
95;5;20
96;4;21
97;3;16
98;2;15
99;1;16
100;0;14
